Pound-for-Pound Top Rank,Jon Jones,0
Pound-for-Pound Top Rank,Khabib Nurmagomedov,2
Pound-for-Pound Top Rank,Henry Cejudo,3
Pound-for-Pound Top Rank,Stipe Miocic,4
Pound-for-Pound Top Rank,Amanda Nunes,5
Pound-for-Pound Top Rank,Daniel Cormier,6
Pound-for-Pound Top Rank,Israel Adesanya,7
Pound-for-Pound Top Rank,Kamaru Usman,8
Pound-for-Pound Top Rank,Alexander Volkanovski,9
Pound-for-Pound Top Rank,Tony Ferguson,10
Pound-for-Pound Top Rank,Valentina Shevchenko,11
Pound-for-Pound Top Rank,Max Holloway,12
Pound-for-Pound Top Rank,Conor McGregor,13
Pound-for-Pound Top Rank,Tyron Woodley,14
Pound-for-Pound Top Rank,Dustin Poirier,15
Flyweight,Henry Cejudo,0
Flyweight,Joseph Benavidez,1
Flyweight,Jussier Formiga,2
Flyweight,Deiveson Figueiredo,3
Flyweight,Alexandre Pantoja,4
Flyweight,Brandon Moreno,5
Flyweight,Rogerio Bontorin,6
Flyweight,Tim Elliott,7
Flyweight,Kai Kara France,8
Flyweight,Matt Schnell,9
Flyweight,Jordan Espinosa,10
Flyweight,Alex Perez,11
Flyweight,Askar Askarov,12
Flyweight,Mark De La Rosa,13
Flyweight,Raulian Paiva,14
Flyweight,Ryan Benoit,15
Bantamweight,Henry Cejudo,0
Bantamweight,Marlon Moraes,1
Bantamweight,Aljamain Sterling,2
Bantamweight,Petr Yan,3
Bantamweight,Cory Sandhagen,4
Bantamweight,Raphael Assuncao,5
Bantamweight,Pedro Munhoz,6
Bantamweight,Jimmie Rivera,7
Bantamweight,Jose Aldo,8
Bantamweight,Cody Garbrandt,9
Bantamweight,Rob Font,10
Bantamweight,Cody Stamann,11
Bantamweight,John Dodson,12
Bantamweight,Song Yadong,13
Bantamweight,Marlon Vera,14
Bantamweight,Casey Kenney,15
Featherweight,Alexander Volkanovski,0
Featherweight,Max Holloway,1
Featherweight,Brian Ortega,2
Featherweight,Zabit Magomedsharipov,3
Featherweight,Chan Sung Jung,4
Featherweight,Yair Rodriguez,5
Featherweight,Frankie Edgar,6
Featherweight,Renato Moicano,7
Featherweight,Jeremy Stephens,8
Featherweight,Jose Aldo,9
Featherweight,Josh Emmett,10
Featherweight,Calvin Kattar,11
Featherweight,Shane Burgos,12
Featherweight,Mirsad Bektic,13
Featherweight,Ryan Hall,14
Featherweight,Arnold Allen,15
Lightweight,Khabib Nurmagomedov,0
Lightweight,Tony Ferguson,1
Lightweight,Dustin Poirier,2
Lightweight,Justin Gaethje,3
Lightweight,Conor McGregor,4
Lightweight,Donald Cerrone,5
Lightweight,Paul Felder,6
Lightweight,Dan Hooker,7
Lightweight,Kevin Lee,8
Lightweight,Al Iaquinta,9
Lightweight,Edson Barboza,10
Lightweight,Anthony Pettis,11
Lightweight,Gregor Gillespie,12
Lightweight,Charles Oliveira,13
Lightweight,Alexander Hernandez,14
Lightweight,Islam Makhachev,15
Welterweight,Kamaru Usman,0
Welterweight,Tyron Woodley,1
Welterweight,Colby Covington,2
Welterweight,Jorge Masvidal,3
Welterweight,Leon Edwards,4
Welterweight,Rafael Dos Anjos,5
Welterweight,Demian Maia,6
Welterweight,Stephen Thompson,7
Welterweight,Nate Diaz,8
Welterweight,Anthony Pettis,9
Welterweight,Robbie Lawler,10
Welterweight,Geoff Neal,11
Welterweight,Vicente Luque,12
Welterweight,Gilbert Burns,13
Welterweight,Neil Magny,14
Welterweight,Li Jingliang,15
Middleweight,Israel Adesanya,0
Middleweight,Robert Whittaker,1
Middleweight,Paulo Costa,2
Middleweight,Yoel Romero,3
Middleweight,Jared Cannonier,4
Middleweight,Darren Till,5
Middleweight,Jack Hermansson,6
Middleweight,Kelvin Gastelum,7
Middleweight,Derek Brunson,8
Middleweight,Edmen Shahbazyan,9
Middleweight,Uriah Hall,10
Middleweight,Brad Tavares,11
Middleweight,Ian Heinisch,12
Middleweight,Omari Akhmedov,13
Middleweight,Antonio Carlos Junior,14
Middleweight,Anderson Silva,15
Light Heavyweight,Jon Jones,0
Light Heavyweight,Thiago Santos,1
Light Heavyweight,Daniel Cormier,2
Light Heavyweight,Anthony Smith,3
Light Heavyweight,Dominick Reyes,4
Light Heavyweight,Corey Anderson,5
Light Heavyweight,Jan Blachowicz,6
Light Heavyweight,Alexander Gustafsson,7
Light Heavyweight,Volkan Oezdemir,8
Light Heavyweight,Glover Teixeira,9
Light Heavyweight,Aleksandar Rakic,10
Light Heavyweight,Johnny Walker,11
Light Heavyweight,Ilir Latifi,12
Light Heavyweight,Misha Cirkunov,13
Light Heavyweight,Nikita Krylov,14
Light Heavyweight,Ronaldo Souza,15
Heavyweight,Stipe Miocic,0
Heavyweight,Daniel Cormier,1
Heavyweight,Francis Ngannou,2
Heavyweight,Curtis Blaydes,3
Heavyweight,Junior Dos Santos,4
Heavyweight,Derrick Lewis,5
Heavyweight,Jairzinho Rozenstruik,5
Heavyweight,Alexander Volkov,7
Heavyweight,Alistair Overeem,8
Heavyweight,Walt Harris,9
Heavyweight,Shamil Abdurakhimov,10
Heavyweight,Blagoy Ivanov,11
Heavyweight,Aleksei Oleinik,12
Heavyweight,Augusto Sakai,13
